,japanese,English
2291,後悔,koukai - regret
2292,情熱,"jounetsu - passion, enthusiasm"
2293,驚き,"odoroki - surprise, amazement"
2294,ジャンプ,janpu - jump
2295,アルコール,"arukooru - alcohol, alcoholic beverage"
2296,いい加減,"iikagen - irresponsible, careless"
2297,わくわく,"wakuwaku - feel excited, be thrilled"
2298,言い訳,iiwake - excuse
2299,ミュージック,myuujikku - music
2300,青春,"seishun - blossom of youth, adolescence"
2301,あっさり,"assari - bluntly, easily"
2302,焦る,"aseru - feel pressured, feel hurried"
2303,柔軟,"juunan - pliable, flexible"
2304,タレント,"tarento - celebrity, TV personality"
2305,どうにか,dounika - somehow
2306,コンテスト,"kontesuto - contest, competition"
2307,もてる,moteru - be popular (esp. with the opposite sex)
2308,デザート,dezaato - dessert
2309,クイズ,"kuizu - quiz, quiz show"
2310,中毒,"chuudoku - poisoning, addiction"
2311,ムード,muudo - mood
2312,同情,"doujou - sympathy, compassion"
2313,学歴,gakureki - educational background
2314,好調,kouchou - good condition
2315,アマチュア,amachua - amateur
2316,炒める,itameru - stir-fry
2317,カメラマン,kameraman - photographer
2318,問い合わせる,"toiawaseru - inquire, ask for (information)"
2319,しょっちゅう,"shocchuu - frequently, repeatedly"
2320,ロープ,roopu - rope
2321,ストライキ,sutoraiki - strike
2322,パンク,panku - flat tire
2323,コマーシャル,"komaasharu - commercial, advertising"
2324,チェンジ,"chenji - change, exchange"
2325,待ち合わせ,"machiawase - meeting with someone, appointment"
2326,時差,jisa - time difference
2327,義理,"giri - sense of duty, obligation"
2328,さっと,satto - quickly
2329,左利き,hidarikiki - left-handedness
2330,サボる,"saboru - slack of, ditch"
2331,だるい,"darui - feel run-down, weary"
2332,ポット,"potto - pot, thermos"
2333,レントゲン,rentogen - X-rays
2334,心強い,"kokoroduyoi - reassuring, heartening"
2335,無駄遣い,mudadukai - wasteful spending
2336,バッジ,bajji - badge
2337,眼科,"ganka - ophthalmology, eye clinic"
2338,履歴書,"rirekisho - resume, curriculum vitae"
2339,インフレーション,infureeshon - inflation
2340,癌,gan - cancer
2341,ぺこぺこ,"pekopeko - bow, kowtow"
2342,嘘つき,usotsuki - liar
2343,おごる,"ogoru - treat, pay for (someone)"
2344,十字路,juujiro - crossroads
2345,びっしょり,"bisshori - drenched, soaked"
2346,だぶだぶ,"dabudabu - baggy, too big"
2347,おだてる,odateru - flatter
2348,かかと,kakato - heel
2349,ほっと,hotto - feel relieved
2350,傷付ける,"kizutsukeru - hurt (someone), damage (something)"
2351,うつむく,"utsumuku - look down, lower one’s eyes"
2352,前売り券,maeuriken - advance ticket
2353,短期,tanki - short-term
2354,舐める,nameru - lick
2355,本日,honjitsu - today (formal)
2356,業界,"gyoukai - industry, business world"
2357,ネットワーク,nettowaaku - network
2358,弁護士,"bengoshi - lawyer, attorney"
2359,入力,"nyuuryoku - input, entry"
2360,前回,zenkai - last time
2361,画面,gamen - screen
2362,後半,"kouhan - latter half, second half"
2363,自信,jishin - confidence
2364,素敵,"suteki - lovely, nice"
2365,当たり前,"atarimae - no wonder, natural"
2366,やり方,yarikata - way of doing
2367,わずか,"wazuka - meager, marginal"
2368,ついに,"tsuini - at last, at length"
2369,次回,jikai - next time
2370,スピード,supiido - speed
2371,バイト,baito - part-time job
2372,不可能,fukanou - impossible
2373,アドバイス,adobaisu - advice
2374,落ち着く,"ochitsuku - calm down, settle in"
2375,せっかく,sekkaku - with much trouble
2376,つい,"tsui - inadvertently, carelessly"
2377,大手,oote - major company
2378,部長,buchou - department head
2379,前半,zenhan - first half
2380,たまたま,"tamatama - by chance, accidentally"
2381,相変わらず,"aikawarazu - as usual, as before"
2382,支払い,shiharai - payment
2383,人数,ninzuu - number of people
2384,課長,kachou - section chief
2385,ファッション,fasshon - fashion
2386,体調,taichou - health condition
2387,付き合う,"tsukiau - socialize with, see (someone)"
2388,ショッピング,shoppingu - shopping
2389,あり,ari - ant
2390,最悪,saiaku - worst
2391,かえる,kaeru - frog
2392,おじさん,"ojisan - Mister, middle-aged man"
2393,得,"toku - advantage, gain"
2394,掴む,"tsukamu - grip, grab"
2395,知り合い,shiriai - acquaintance
2396,ペース,peesu - pace
2397,作成,"sakusei - to produce, to make"
2398,親子,oyako - parent and child
2399,話し合い,"hanashiai - talk, discussion"
2400,本社,honsha - head office of a company
2401,打ち合わせ,"uchiawase - meeting, arrangement"
2402,見守る,"mimamoru - watch, keep watch over"
2403,売り上げ,"uriage - sales, proceeds"
2404,かえって,"kaette - rather, instead"
2405,アイドル,aidoru - idol
2406,何となく,nantonaku - for some reason
2407,年末,nenmatsu - end of year
2408,無意識,"muishiki - unconsciously, unintentionally"
2409,駅前,ekimae - in front of the station
2410,やって来る,yattekuru - come all the way
2411,キッチン,kicchin - kitchen
2412,キス,kisu - kiss
2413,慌てる,"awateru - be flustered, be in a hurry"
2414,都内,tonai - in the metropolitan area of Tokyo
2415,残業,zangyou - overtime work
2416,曖昧,"aimai - ambiguous, vague"
2417,カタログ,katarogu - catalogue
2418,殴る,"naguru - hit, punch"
2419,両手,ryoute - both hands
2420,仲良く,"nakayoku - harmoniously, getting along"
2421,始め,"hajime - beginning, initial part"
2422,知り合う,"shiriau - get acquainted with, get to know (someone)"
2423,お手伝い,"otetsudai - help, assistance (polite)"
2424,マナー,manaa - manners
2425,カラオケ,karaoke - karaoke
2426,二度と,nidoto - never again
2427,片手,katate - one hand
2428,おばさん,obasan - middle-aged woman
2429,保育園,"hoikuen - day-care center, nursery school"
2430,ずれる,"zureru - go off track, go out of line"
2431,ビーチ,biichi - beach
2432,せいぜい,"seizei - at most, at best"
2433,後期,"kouki - latter term, second half"
2434,エアコン,"eakon - air-conditioning, air conditioner"
2435,ゆったり,"yuttari - comfortable, easy fit"
2436,ハードウェア,haadowea - hardware
2437,リクエスト,rikuesuto - request
2438,翌年,yokunen - the following year
2439,キャンセル,kyanseru - cancellation
2440,車内,shanai - inside a vehicle or a train
2441,大声,oogoe - loud voice
2442,無責任,musekinin - irresponsible
2443,片方,"katahou - one side, the other one"
2444,ボリューム,boryuumu - volume
2445,前方,"zenpou - front, ahead"
2446,日本酒,nihonshu - Japanese rice wine
2447,青空,aozora - blue sky
2448,不自然,"fushizen - unnatural, artificial"
2449,昨晩,"sakuban - last night, last evening (formal)"
2450,市役所,"shiyakusho - municipal office, city hall"
2451,フルーツ,furuutsu - fruit
2452,年々,nennen - year by year
2453,後方,"kouhou - back, rear"
2454,お詫び,"owabi - apologize, apology"
2455,大根,daikon - oriental radish
2456,むく,muku - peel (something)
2457,例年,"reinen - typical year, average year"
2458,締め切り,shimekiri - deadline
2459,正に,"masani - just, surely"
2460,蛇,hebi - snake
2461,ラッシュ,"rasshu - rush, rush hour"
2462,大げさ,oogesa - exaggerated
2463,無理やり,"muriyari - forcibly, against one’s will"
2464,外食,"gaishoku - eating out, dining out"
2465,キャベツ,kyabetsu - cabbage
2466,手足,"teashi - hands and feet, limbs"
2467,閉店,heiten - shop closing
2468,百貨店,hyakkaten - department store
2469,クッキー,kukkii - cookie
2470,車椅子,kurumaisu - wheelchair
2471,大雨,ooame - heavy rain
2472,鳩,"hato - pigeon, dove"
2473,中級,"chuukyuu - middle-class, intermediate"
2474,おにぎり,onigiri - rice ball
2475,ひょっとしたら,hyottoshitara - perhaps
2476,ぐるぐる,guruguru - round and round
2477,和食,washoku - Japanese-style food
2478,どく,"doku - get out of the way, step aside"
2479,ウエスト,uesuto - waist
2480,忘年会,bounenkai - year-end party
2481,包丁,houchou - kitchen knife
2482,ゴールデンウィーク,goorudenwiiku - golden week
2483,シューズ,shuuzu - shoes
2484,未成年,"miseinen - minor, underage"
2485,甥,oi - nephew
2486,葉っぱ,happa - leaf
2487,やり直す,yarinaosu - do over again
2488,大晦日,oomisoka - new year’s eve
2489,サングラス,sangurasu - sunglasses
2490,病人,byounin - sick person
2491,顔色,"kaoiro - complexion, facial expression"
2492,金色,kiniro - golden color
2493,にらむ,"niramu - glare, stare"
2494,つかまる,tsukamaru - hold on to (something)
2495,足首,ashikubi - ankle
2496,散らかる,"chirakaru - be in a mess, lie scattered"
2497,上がる,agaru - get nervous
2498,かぼちゃ,kabocha - pumpkin
2499,水族館,suizokukan - aquarium
2500,品切れ,shinagire - sold out
2501,腫れる,"hareru - swell up, be swollen"
2502,やり直し,"yarinaoshi - doing over, redoing"
2503,バーゲン,baagen - bargain sale
2504,男らしい,"otokorashii - manly, masculine"
2505,近道,chikamichi - shortcut
2506,トースト,toosuto - toast
2507,好奇心,koukishin - curiosity
2508,実用的,jitsuyouteki - practical
2509,客観的,kyakkanteki - objective
2510,抽象的,chuushouteki - abstract
2511,送別会,soubetsukai - farewell party
2512,敷金,"shikikin - deposit, security deposit"
2513,日米,nichibei - Japan and the US
2514,専門家,"senmonka - specialist, expert"
2515,ホット,hotto - hot
2516,わさび,wasabi - Japanese horseradish
2517,初詣,hatsumoude - first shrine visit of the new year
2518,ジョギング,jogingu - jogging
2519,社会人,shakaijin - working member of society
2520,大急ぎ,ooisogi - in a great hurry
2521,セルフサービス,serufusaabisu - self-service
2522,くしゃくしゃ,"kushakusha - messy, crumpled"
2523,食パン,shokupan - bread in a rectangular shape
2524,人差し指,"hitosashiyubi - index finger, forefinger"
2525,洋食,youshoku - Western food
2526,じめじめ,jimejime - damp
2527,じろじろ,jirojiro - staringly
2528,つるつる,"tsurutsuru - smooth, slippery"
2529,こしょう,koshou - pepper
2530,びしょびしょ,"bishobisho - soaking wet, soaked"
2531,ぎゅうぎゅう,"gyuugyuu - packed, crammed"
2532,バツ,"batsu - cross, x-mark (on errors, mistakes etc.)"
2533,水色,mizuiro - light blue
2534,領収書,ryoushuusho - bill of receipt (for payment only)
2535,自然に,shizenni - naturally
2536,とんかつ,tonkatsu - pork cutlet
2537,ねぎ,"negi - spring onion, green onion"
2538,きゅうり,kyuuri - cucumber
2539,鰻,unagi - eel
2540,まぐろ,maguro - tuna
2541,パイナップル,painappuru - pineapple
2542,ほうれん草,hourensou - spinach
2543,マヨネーズ,mayoneezu - mayonnaise
2544,玉ねぎ,tamanegi - onion
2545,焼き肉,"yakiniku - grilled meat, barbecued meat"
2546,目薬,megusuri - eye drops
2547,寝過ごす,nesugosu - oversleep
2548,国際的,kokusaiteki - international
2549,国際化,kokusaika - internationalization
2550,区役所,kuyakusho - ward office
2551,和室,washitsu - Japanese-style room
2552,本格的,"honkakuteki - authentic, serious"
2553,高速道路,"kousokudouro - freeway, expressway"
2554,とりあえず,"toriaezu - for now, for the time being"
2555,先に,"sakini - before, ahead"
2556,ぎりぎり,"girigiri - just in time, barely"
2557,慌ただしい,awatadashii - busy and hurried
2558,今ごろ,"imagoro - by now, at this time"
2559,くっ付く,"kuttsuku - stick, be attached"
2560,北風,kitakaze - north wind
2561,海老,ebi - shrimp
2562,思い切って,"omoikitte - daringly, taking the plunge"
2563,はっと,"hatto - taken aback, startled"
2564,宛先,atesaki - recipient’s address
2565,ばらばら,"barabara - separately, discretely"
2566,乗車券,"joushaken - train ticket, bus ticket"
2567,ぶるぶる,"buruburu - shivering, trembling"
2568,すらすら,"surasura - smoothly, easily"
2569,終電,shuuden - last train
2570,ずるい,"zurui - cunning, sneaky"
2571,すやすや,"suyasuya - (sleep) peacefully, soundly"
2572,がたがた,"gatagata - with a rattling noise, unstable"
2573,非常口,hijouguchi - emergency exit
2574,ざらざら,"zarazara - rough, gritty"
2575,ぬるぬる,nurunuru - slimy
2576,女らしい,"onnarashii - womanly, feminine"
2577,急用,kyuuyou - urgent business
2578,きょろきょろ,kyorokyoro - look around
2579,ぐずぐず,"guzuguzu - slowly, tardily"
2580,ぽかぽか,pokapoka - pleasantly warm
2581,洗い物,araimono - dishes to be washed
2582,かっと,"katto - in a temper, in a rage"
2583,どきっと,"dokitto - surprised, shocked"
2584,乗り遅れる,"noriokureru - miss (a train, bus, etc.)"
2585,くたくた,kutakuta - exhausted
2586,すべすべ,"subesube - smooth, silky"
2587,にやにや,niyaniya - grin to oneself
2588,あだ名,adana - nickname
2589,後片付け,atokataduke - cleaning up
2590,イカ,ika - squid
2591,うきうき,ukiuki - excitedly
2592,可愛がる,"kawaigaru - love, cherish"
2593,餃子,gyouza - Chinese dumpling
2594,げらげら,geragera - (laugh) out loud
2595,ごめん,gomen - sorry
2596,明々後日,shiasatte - three days from today
2597,削減,"sakugen - cutdown, reduction"
2598,贅沢,"zeitaku - luxury, extravagance"
2599,そのうち,"sonouchi - before long, sooner or later"
2600,でこぼこ,"dekoboko - unevenness, bumpiness"
2601,手のひら,tenohira - palm
2602,裸足,hadashi - bare feet
2603,べたべた,"betabeta - stick together, sticky"
2604,眉毛,mayuge - eyebrows
2605,割り箸,waribashi - disposable chopsticks
2606,日付け,"hiduke - date (written in a document, etc.)"
2607,ぴたりと,"pitarito - suddenly, coming to a dead stop"
2608,まな板,manaita - chopping board
2609,筆記用具,"hikkiyougu - pens and pencils, writing materials"
2610,くすぐる,kusuguru - tickle
2611,かんかん,"kankan - furiously angry, in a rage"
2612,白線,hakusen - white (warning) line
2613,見覚え,"mioboe - recognition, remembrance"
2614,これまで,"koremade - until now, until here"
2615,からす,"karasu - crow, raven"
2616,噛み付く,kamitsuku - bite
2617,白菜,hakusai - Chinese cabbage
2618,プロ野球,puroyakyuu - professional baseball
2619,かみそり,kamisori - razor
2620,何十,nanjuu - several tens
2621,何百,"nanbyaku - several hundred, hundreds"
2622,何千,"nanzen - several thousand, thousands"
2623,がくんと,"gakunto - sharply, significantly"
2624,飛び下りる,"tobioriru - jump off, jump down"
2625,通行止め,tsuukoudome - road closed
2626,行き止まり,ikidomari - dead end
2627,真ん丸,"manmaru - perfect circle, perfectly round"
2628,いつの間に,itsunomani - without anyone noticing
2629,くっ付ける,"kuttsukeru - attach (something), stick (something)"
2630,付け足す,"tsuketasu - add on, append"
2631,得する,"tokusuru - profitable, beneficial"
2632,損する,"sonsuru - lose, suffer loss"
2633,言い返す,iikaesu - talk back
2634,体温計,taionkei - (clinical) thermometer
2635,後戻り,"atomodori - turning back, retreat"
2636,話し声,hanashigoe - talking voice
2637,くるくる,"kurukuru - round and round, spin"
2638,怖がる,"kowagaru - be afraid of, fear"
2639,人違い,hitochigai - mistaken identity
2640,取り返す,"torikaesu - take back, regain"
2641,乗り降り,noriori - getting on and off
2642,口喧嘩,kuchigenka - quarrel
2643,起き上がる,"okiagaru - get up, rise"
2644,ぶら下がる,"burasagaru - hang down, dangle"
2645,飛び上がる,"tobiagaru - fly up, fump up"
2646,泣き声,"nakigoe - tearful voice, sound of crying"
2647,持ち物,mochimono - one’s belongings
2648,細長い,"hosonagai - long and thin, long and narrow"
2649,出入り口,"deiriguchi - doorway, gateway"
2650,正座,seiza - sitting on one’s heels
2651,大喜び,ooyorokobi - great joy
2652,落とし物,otoshimono - lost property
2653,じゃんじゃん,"janjan - many times, repeatedly"
2654,見違える,michigaeru - look completely different
2655,合理的,"gouriteki - rational, logical"
2656,自主的,"jishuteki - voluntary, independent"
2657,全面的,"zenmenteki - full-scale, complete"
2658,円高,endaka - strong yen
2659,消費者,shouhisha - consumer
2660,日中,nicchuu - Japan and China
2661,明日,asu - tomorrow (rather formal)
2662,結構,"kekkou - all right, no thank you"
2663,辛い,"tsurai - hard, painstaking"
2664,まずい,"mazui - problematic, troublesome"
2665,上下,jouge - top and bottom
2666,生,"nama - raw, fresh"
2667,よける,"yokeru - avoid, dodge"
2668,がやがや,"gayagaya - noisily, loudly"
2669,赤ん坊,akanbou - (human) baby
2670,ワープロ,waapuro - word processor
2671,新聞社,shinbunsha - newspaper publisher
2672,寝かす,nekasu - put (someone) to bed
2673,者,mono - person (humble)
2674,中,"chuu - middle, medium size"
2675,性,"sei - gender, sexual activities"
2676,会,"kai - meeting, association"
2677,事,"koto - thing, incident"
2678,今日,konnichi - these days
2679,点,"ten - point (of concern), dot"
2680,バック,"bakku - back, reverse"
2681,記事,"kiji - article, story"
2682,大,"dai - big, large size"
2683,法,"hou - law, rule"
2684,非常,hijou - emergency
2685,ただ,"tada - simply, merely"
2686,感じ,"kanji - feeling, impression"
2687,環境,"kankyou - environment, surroundings"
2688,理解,"rikai - understanding, comprehension"
2689,県,ken - prefecture
2690,使用,shiyou - use
2691,主義,"shugi - principle, -ism"
2692,国民,kokumin - citizen
2693,下,moto - under (someone’s) supervision
2694,場,"ba - occasion, situation"
2695,労働,"roudou - labor, work"
2696,機会,"kikai - opportunity, chance"
2697,製品,"seihin - product, manufactured goods"
2698,自身,jishin - self
2699,かかる,"kakaru - catch (a cold, etc.), come down with"
2700,求める,"motomeru - seek, yearn for"
2701,下さる,kudasaru - give (honorific)
2702,昨日,sakujitsu - yesterday (formal)
2703,元,"moto - origin, former"
2704,型,"kata - type, model"
2705,それぞれ,"sorezore - each, respectively"
2706,地方,chihou - local region
2707,面,"men - surface, side"
2708,実は,jitsuha - actually
2709,夜,"yoru - night, evening"
2710,地,"chi - ground, place"
2711,議論,"giron - discussion, debate"
2712,以前,"izen - before, ago"
2713,専門,"senmon - specialty, profession"
2714,申し上げる,"moushiageru - tell, say (humble)"
2715,行動,"koudou - action, conduct"
2716,率,"ritsu - ratio, rate"
2717,監督,"kantoku - supervisor, film director"
2718,意識,"ishiki - consciousness, awareness"
2719,認める,"mitomeru - recognize, permit"
2720,参考,"sankou - reference, consultation"
2721,チーム,chiimu - team
2722,現実,genjitsu - reality
2723,価値,"kachi - value, worth"
2724,テーマ,"teema - theme, subject matter"
2725,含む,"fukumu - contain, include"
2726,際,"sai - opportunity, time"
2727,全て,"subete - all, everything"
2728,大臣,daijin - minister
2729,国家,"kokka - state, nation"
2730,試合,"shiai - match, game"
2731,結局,"kekkyoku - after all, finally"
2732,消費,"shouhi - consumption, spending"
2733,人生,jinsei - one’s life (to lead)
2734,量,"ryou - quantity, amount"
2735,精神,"seishin - mind, mentality"
2736,レベル,reberu - level
2737,我々,wareware - we (literary)
2738,指導,"shidou - guide, instruction"
2739,明日,myounichi - tomorrow (very formal)
2740,資料,"shiryou - materials, data"
2741,団体,"dantai - group, organization"
2742,最も,mottomo - the most
2743,完全,"kanzen - perfect, complete"
2744,品,"shina - goods, item"
2745,男性,"dansei - male, man"
2746,軍,gun - military
2747,描く,"egaku - depict, draw"
2748,最終,"saishuu - final, last (of something repeated)"
2749,センター,"sentaa - center (for an activity, etc.), hub"
2750,障害,"shougai - obstacle, disorder"
2751,医療,"iryou - medical service, healthcare"
2752,頂く,"itadaku - receive, eat (humble)"
2753,金融,kinyuu - finance
2754,学ぶ,"manabu - learn, study"
2755,成長,seichou - growth
2756,登場,"toujou - appearance (on stage, etc.)"
2757,知識,chishiki - knowledge
2758,友人,yuujin - friend (formal)
2759,イメージ,imeeji - image
2760,トップ,"toppu - top, the best"
2761,税,zei - tax
2762,変更,"henkou - alteration, change"
2763,限り,kagiri - limit
2764,式,shiki - ceremony
2765,展開,"tenkai - development, storyline (plot)"
2766,興味,kyoumi - interest
2767,含める,fukumeru - include
2768,編集,henshuu - editing
2769,選択,"sentaku - selection, choice"
2770,無料,"muryou - no charge, free"
2771,身,"mi - body, oneself, one’s status"
2772,分析,bunseki - analysis
2773,予算,yosan - budget
2774,目標,"mokuhyou - target, goal"
2775,通信,"tsuushin - correspondence, communication"
2776,向ける,"mukeru - turn toward, point at"
2777,時刻,jikoku - time (formal)
2778,逆,"gyaku - reverse, opposite"
2779,最高,"saikou - supreme, best"
2780,利益,"rieki - profit, benefit"
2781,事務,"jimu - office work, business"
2782,出版,"shuppan - publishing, publication"
2783,プロ,puro - professional
2784,様々,"samazama - various, diverse"
2785,州,"shuu - state, province"
2786,共通,kyoutsuu - commonality
2787,現代,"gendai - present age, modern times"
2788,被害,"higai - damage, harm"
2789,新た,"arata - new, fresh"
2790,相当,"soutou - suitability, equivalence"
2791,更新,"koushin - renewal, update"
2792,得る,"eru - obtain, gain"
2793,内,uchi - inside
2794,維持,"iji - maintenance, upkeep"
2795,料金,"ryoukin - charge, fee (for using facilities, etc.)"
2796,到着,touchaku - arrival
2797,なま物,namamono - uncooked food
2798,章,shou - chapter
2799,メンバー,menbaa - member
2800,演奏,ensou - musical performance
2801,案,"an - plan, idea"
2802,希望,"kibou - hope, wish"
2803,記憶,"kioku - memory, remembrance"
2804,モデル,moderu - model
2805,方々,katagata - people (polite)
2806,発売,"hatsubai - launch, release (of a product)"
2807,話題,"wadai - topic of conversation, being talked about"
2808,目指す,mezasu - aim for
2809,建築,"kenchiku - construction, architecture"
2810,印象,inshou - impression
2811,権利,"kenri - right, privilege"
2812,学習,"gakushuu - study, learning"
2813,発展,"hatten - development, expansion"
2814,現場,"genba - scene, job site"
2815,気分,"kibun - feeling, mood"
2816,移動,"idou - movement, shift"
2817,発行,"hakkou - publication, issue"
2818,宗教,shuukyou - religion
2819,改正,"kaisei - revision, amendment"
2820,倍,"bai - double, times"
2821,不安,"fuan - uneasy, worried"
2822,自ら,"mizukara - (for) oneself, personally"
2823,広告,koukoku - advertisement
2824,共同,"kyoudou - joint, cooperation"
2825,年代,"nendai - generation, era"
2826,タイプ,taipu - type
2827,差,sa - difference
2828,営業,"eigyou - business, sales"
2829,役割,"yakuwari - role, duty, responsibility"
2830,改善,kaizen - improvement
2831,撮影,"satsuei - photographing, shoot"
2832,エネルギー,enerugii - energy
2833,憲法,"kenpou - constitution, constitutional law"
2834,感謝,"kansha - gratitude, thanks"
2835,感覚,"kankaku - sense, feel"
2836,旅,"tabi - journey, travel"
2837,合わせる,"awaseru - match (something), adapt (oneself)"
2838,既に,sudeni - already
2839,現状,"genjou - current condition, situation"
2840,先日,"senjitsu - the other day, a few days ago"
2841,中央,"chuuou - center, middle"
2842,似る,"niru - resemble, be alike"
2843,平均,heikin - average
2844,末,"sue - the end, in the end"
2845,追加,"tsuika - addition, supplement"
2846,なさる,nasaru - do (honorific)
2847,様子,"yousu - the state of affairs, how someone appears"
2848,活用,"katsuyou - practical use, application"
2849,交換,"koukan - exchange, bartering"
2850,整備,seibi - maintenance
2851,想像,souzou - imagination
2852,ああ,"aa - like that, that much"
2853,満足,"manzoku - satisfaction, contentment"
2854,以降,"ikou - thereafter, later than"
2855,比較,hikaku - comparison
2856,クラス,"kurasu - class, category"
2857,犯罪,"hanzai - offense, crime"
2858,おっしゃる,"ossharu - say, tell (honorific)"
2859,特定,"tokutei - specifying, identifying"
2860,基礎,"kiso - base, foundation"
2861,流れ,"nagare - flow, stream"
2862,どうも,"doumo - for no special reason, somehow"
2863,村,mura - village
2864,安定,"antei - stability, composure"
2865,本人,"honnin - the person himself, the said person"
2866,雰囲気,"funiki - atmosphere, mood"
2867,会場,"kaijou - venue, site"
2868,電子,"denshi - electron, electronic"
2869,文,bun - sentence
2870,範囲,"hani - range, scope"
2871,常に,"tsuneni - always, at all times (formal)"
2872,失う,"ushinau - lose, miss"
2873,日常,"nichijou - everyday life, daily life"
2874,回答,"kaitou - reply, answer"
2875,体制,"taisei - system, structure"
2876,調整,"chousei - regulation, adjustment"
2877,疑問,"gimon - question, doubt"
2878,応援,"ouen - support, cheering"
2879,感想,"kansou - thought, impression"
2880,解説,"kaisetsu - explanation, commentary"
2881,シリーズ,shiriizu - series
2882,公共,"koukyou - public, community"
2883,民間,"minkan - private, civilian"
2884,裁判,"saiban - trial, judgment"
2885,組合,"kumiai - union, guild"
2886,本来,"honrai - originally, primarily"
2887,一体,ittai - what on earth
2888,宇宙,"uchuu - universe, space"
2889,申す,"mousu - say, tell (humble)"
2890,図,"zu - figure, diagram"
2891,クラブ,kurabu - club
2892,観光,kankou - sightseeing
2893,提出,"teishutsu - presentation, submission (of a report, plan, etc.)"
2894,以来,irai - since then
2895,離れる,hanareru - get away from
2896,生,"sei - life, living"
2897,性格,"seikaku - character, personality"
2898,検査,"kensa - inspection, examination"
2899,信頼,"shinrai - reliance, trust"
2900,人物,"jinbutsu - character, person"
2901,触れる,"fureru - touch, come in contact with"
2902,記念,"kinen - commemoration, memory"
2903,役,"yaku - role, part"
2904,費用,"hiyou - expense, cost"
2905,指定,"shitei - designation, appointment"
2906,感情,"kanjou - feeling, emotion"
2907,空,"kara - emptiness, hollow"
2908,関わる,"kakawaru - be involved, be concerned"
2909,仲間,"nakama - comrade, peer"
2910,整理,"seiri - putting something in order, sorting out"
2911,至る,"itaru - come to, reach"
2912,独立,"dokuritsu - independence, self-reliance"
2913,賞,"shou - prize, award"
2914,誕生,tanjou - birth
2915,いらっしゃる,"irassharu - come, go (honorific)"
2916,都,to - metropolis of Tokyo
2917,全員,"zenin - all members, entire staff"
2918,明確,meikaku - clear and specific
2919,少なくとも,"sukunakutomo - at least, at a minimum"
2920,セット,setto - set
2921,魅力,"miryoku - charm, attraction"
2922,きちんと,"kichinto - properly, neatly"
2923,手段,"shudan - means, way"
2924,有効,"yuukou - effective, valid"
2925,集中,"shuuchuu - concentration, convergence"
2926,現象,genshou - phenomenon
2927,感動,"kandou - to be impressed, to be touched"
2928,禁止,"kinshi - prohibition, forbiddance"
2929,会員,"kaiin - member (of an association, society, etc.)"
2930,過ごす,sugosu - spend (time)
2931,納得,nattoku - to fully understand and accept
2932,収入,shuunyuu - income
2933,レポート,"repooto - report, paper"
2934,年齢,nenrei - age
2935,舞台,"butai - stage, setting"
2936,交通,"koutsuu - traffic, transportation"
2937,他人,"tanin - other people, stranger"
2938,組,"kumi - school class, group, pair"
2939,否定,"hitei - denial, negation"
2940,扱う,"atsukau - handle, deal with"
2941,修正,"shuusei - correction, revision"
2942,一応,"ichiou - tentatively, just in case"
2943,生じる,"shoujiru - happen, occur"
2944,訪問,houmon - visit
2945,引用,"inyou - quotation, citation"
2946,芸術,"geijutsu - art, arts and crafts"
2947,解釈,"kaishaku - interpretation, explanation"
2948,行,"gyou - line, row"
2949,結論,ketsuron - conclusion
2950,困難,"konnan - difficulty, hardship"
2951,回復,"kaifuku - recovery, recuperation"
2952,適用,"tekiyou - application, coverage"
2953,集団,"shuudan - group, mass"
2954,事態,"jitai - situation, state of affairs"
2955,スタート,"sutaato - start, begin"
2956,更に,"sarani - furthermore, still more"
2957,活躍,"katsuyaku - (successful) performance, action"
2958,命,inochi - life (colloquial)
2959,医師,"ishi - doctor, physician (formal)"
2960,おる,"oru - be present, stay (humble)"
2961,現れる,"arawareru - appear, emerge"
2962,講演,"kouen - lecture, talk"
2963,瞬間,shunkan - moment
2964,交流,"kouryuu - interaction, contact"
2965,標準,"hyoujun - standard, norm"
2966,まるで,marude - just like
2967,スタイル,"sutairu - style, physique"
2968,関心,"kanshin - concern, interest"
2969,取り上げる,"toriageru - take, confiscate"
2970,伝統,dentou - tradition
2971,民主,minshu - democracy
2972,制限,"seigen - restriction, limit"
2973,投票,"touhyou - vote, ballot"
2974,心理,"shinri - mentality, psychology"
2975,大体,"daitai - about, anyway"
2976,突然,totsuzen - suddenly
2977,思想,"shisou - thought, conception"
2978,応じる,"oujiru - answer, comply with"
2979,不足,"fusoku - lack, shortage"
2980,コード,koodo - cord
2981,世の中,"yononaka - the world, society"
2982,項目,"koumoku - item, topic"
2983,旧,"kyuu - old, former"
2984,次第,shidai - as soon as
2985,長期,chouki - long period
2986,著者,"chosha - author, writer"
2987,罪,"tsumi - crime, sin"
2988,楽,"raku - comfortable, easy"
2989,操作,"sousa - operation, manipulation"
2990,支配,"shihai - control, rule"
2991,態度,taido - attitude
2992,過程,"katei - process, course"
2993,バランス,baransu - balance
2994,連続,"renzoku - continuation, series"
2995,機関,"kikan - agency, facility"
2996,論,"ron - argument, theory"
2997,島,tou - island
